PersonID,FinancialID,Income,Credit_Score,Loan_Amount,Loan_Purpose,Employment_Status,Years_at_Current_Job,Payment_History,Debt-to-Income_Ratio_(%),Assets_Value,Previous_Defaults,Risk_Rating,,,,
162,162,108304,675,46461,Auto,Self-employed,15,Excellent,13,159741,1,Medium,,,,
163,163,69933,728,42333,Home,Employed,17,Good,35,159741,3,Low,,,,
164,164,118679,731,40823,Auto,Employed,6,Poor,35,63853,0,Low,,,,
165,165,89126,643,38741,Auto,Employed,0,Excellent,13,50589,4,High,,,,
166,166,35198,718,27450,Business,Unemployed,9,Good,16,222837,3,Low,,,,
167,167,104677,784,24588,Home,Unemployed,9,Fair,30,50584,4,Low,,,,
168,168,69933,699,29559,Home,Unemployed,10,Poor,18,203837,0,Low,,,,
169,169,80047,697,42968,Business,Employed,0,Fair,36,159741,1,Medium,,,,
170,170,80523,604,13043,Auto,Employed,15,Excellent,11,201865,4,Low,,,,
171,171,117835,640,45787,Business,Self-employed,19,Excellent,41,159741,2,Medium,,,,
172,172,69933,604,29783,Personal,Employed,13,Excellent,41,159741,1,High,,,,
173,173,69933,750,46529,Auto,Self-employed,19,Fair,45,290306,0,Low,,,,
174,174,91656,661,27450,Personal,Self-employed,1,Excellent,52,159741,2,High,,,,
175,175,87687,791,16663,Auto,Unemployed,9,Fair,32,291278,1,Medium,,,,
176,176,81289,722,27450,Auto,Employed,13,Fair,25,103462,3,Low,,,,
177,177,27807,681,27450,Personal,Employed,12,Fair,50,178108,2,Medium,,,,
178,178,69933,711,15286,Personal,Employed,1,Excellent,38,156329,2,Low,,,,
179,179,20987,640,8042,Home,Employed,12,Fair,44,55772,1,Low,,,,
180,180,61876,791,7070,Personal,Unemployed,0,Excellent,11,131369,2,Low,,,,
181,181,108454,716,33552,Personal,Unemployed,8,Poor,59,24976,2,High,,,,
182,182,69933,753,27450,Personal,Self-employed,7,Excellent,10,101481,3,Low,,,,
183,183,87346,699,26863,Home,Employed,11,Poor,56,164061,3,Low,,,,
184,184,28583,611,29949,Personal,Employed,19,Excellent,20,139629,2,Medium,,,,
185,185,69933,705,12071,Business,Employed,8,Good,12,85658,2,Low,,,,
186,186,31340,790,6687,Business,Self-employed,4,Excellent,20,159741,2,Low,,,,
187,187,50737,624,27450,Auto,Self-employed,4,Good,54,261675,2,Medium,,,,
188,188,88056,684,9746,Personal,Employed,15,Good,36,48339,2,Low,,,,
189,189,115287,699,9520,Auto,Unemployed,3,Excellent,39,69459,1,Low,,,,
190,190,39330,769,27489,Home,Self-employed,14,Excellent,45,284455,0,Low,,,,
191,191,111594,715,9174,Home,Unemployed,4,Good,10,137074,2,Low,,,,
192,192,102789,742,10729,Business,Employed,17,Good,27,269293,1,Medium,,,,
193,193,69933,793,21504,Auto,Employed,12,Good,44,179496,2,Low,,,,
194,194,27313,786,24399,Auto,Self-employed,10,Excellent,15,284643,2,Low,,,,
195,195,87228,602,27450,Personal,Self-employed,7,Poor,56,182601,4,Low,,,,
196,196,101844,688,9667,Home,Employed,1,Excellent,25,61882,4,Low,,,,
197,197,102949,637,38759,Auto,Self-employed,18,Poor,35,159741,2,Low,,,,
198,198,28673,699,19540,Auto,Unemployed,19,Fair,41,255563,1,Medium,,,,
199,199,35973,663,19492,Auto,Unemployed,2,Good,43,82006,0,Medium,,,,
200,200,62011,747,15722,Business,Employed,3,Poor,18,259195,3,Medium,,,,
201,201,69933,618,27165,Home,Self-employed,4,Poor,24,219776,2,Low,,,,
202,202,42942,699,5346,Home,Self-employed,7,Good,14,146854,0,Low,,,,
203,203,111205,736,27450,Business,Self-employed,4,Poor,27,159741,2,Low,,,,
204,204,114486,704,32353,Auto,Self-employed,7,Poor,40,222630,1,Low,,,,
205,205,42064,760,39482,Personal,Employed,0,Excellent,20,243318,3,Low,,,,
206,206,80883,699,46731,Auto,Employed,12,Excellent,56,200074,2,Medium,,,,
207,207,31231,712,48935,Personal,Employed,8,Good,11,277314,3,Medium,,,,
208,208,85651,799,17157,Auto,Unemployed,2,Fair,54,200136,3,Medium,,,,
209,209,91982,602,33381,Home,Unemployed,7,Poor,52,159741,3,Low,,,,
210,210,85839,686,29177,Business,Self-employed,11,Excellent,26,114053,4,Low,,,,
211,211,109590,625,41449,Personal,Self-employed,16,Fair,52,114922,4,Low,,,,
212,212,68960,675,25542,Personal,Employed,10,Good,44,60758,2,Medium,,,,
213,213,58217,658,15328,Business,Unemployed,11,Poor,53,169695,0,Medium,,,,
214,214,105237,699,14212,Personal,Unemployed,2,Fair,30,265480,1,Low,,,,
215,215,80656,710,46162,Personal,Self-employed,0,Excellent,58,159741,0,Medium,,,,
216,216,105916,750,6324,Personal,Unemployed,17,Poor,27,89195,1,High,,,,
217,217,111627,630,39992,Home,Employed,14,Poor,39,200110,2,Medium,,,,
218,218,50374,699,27450,Business,Self-employed,18,Good,43,176978,1,Medium,,,,
219,219,29879,699,34733,Business,Employed,13,Excellent,36,133149,1,Low,,,,
220,220,69933,699,10737,Personal,Unemployed,1,Excellent,42,202129,1,Medium,,,,
221,221,74850,650,17324,Personal,Self-employed,14,Excellent,19,151244,0,Low,,,,
222,222,62530,754,27450,Home,Employed,0,Excellent,26,248213,3,Medium,,,,
223,223,90179,693,32825,Personal,Self-employed,5,Good,58,129600,4,Low,,,,
224,224,117507,685,45544,Auto,Self-employed,11,Good,38,228273,2,Low,,,,
225,225,34002,738,23618,Home,Unemployed,6,Fair,17,269695,2,Low,,,,
226,226,74333,693,47328,Personal,Unemployed,5,Poor,52,111726,1,Low,,,,
227,227,109067,790,35949,Home,Self-employed,14,Poor,40,206088,1,Medium,,,,
228,228,54022,775,9445,Business,Employed,12,Fair,24,177570,2,Low,,,,
229,229,67278,742,13704,Auto,Self-employed,2,Excellent,50,171149,2,Medium,,,,
230,230,37540,673,34317,Home,Employed,7,Poor,51,32715,4,Medium,,,,
231,231,69933,698,48874,Personal,Self-employed,11,Poor,25,45045,2,Medium,,,,
232,232,71171,642,27450,Personal,Employed,17,Excellent,44,152710,1,High,,,,
233,233,98283,650,42997,Auto,Unemployed,17,Fair,49,178174,0,Low,,,,
234,234,27826,736,43125,Auto,Employed,18,Good,25,118770,3,Medium,,,,
235,235,96730,699,28500,Personal,Self-employed,19,Excellent,14,281303,4,Medium,,,,
236,236,84934,720,27450,Auto,Employed,6,Good,48,116141,3,Low,,,,
237,237,62296,744,23778,Business,Self-employed,1,Excellent,20,173854,1,High,,,,
238,238,111551,632,10074,Business,Employed,6,Excellent,59,66221,2,Medium,,,,
239,239,47260,608,23857,Home,Employed,6,Poor,35,159741,4,Low,,,,
240,240,65538,646,27450,Personal,Employed,12,Excellent,59,35469,3,Low,,,,
241,241,100352,621,27450,Personal,Employed,18,Good,44,171041,3,Medium,,,,
242,242,113925,611,48919,Business,Unemployed,19,Poor,47,28459,3,Low,,,,
243,243,81971,646,48870,Personal,Employed,18,Excellent,38,159741,2,High,,,,
244,244,47774,699,27450,Auto,Unemployed,0,Excellent,51,275648,1,High,,,,
245,245,114499,779,40584,Auto,Self-employed,6,Fair,28,76919,2,Low,,,,
246,246,83471,793,8810,Personal,Self-employed,14,Excellent,51,145761,1,Low,,,,
247,247,56080,702,27450,Auto,Employed,13,Fair,23,57488,3,Low,,,,
248,248,21320,733,34540,Home,Unemployed,4,Fair,34,159741,0,Low,,,,
249,249,54560,760,30826,Auto,Employed,11,Poor,57,21537,2,Low,,,,
250,250,115381,727,40970,Auto,Self-employed,14,Good,45,291530,0,Low,,,,
251,251,75122,699,33345,Business,Employed,16,Good,32,159741,0,Medium,,,,
252,252,81683,693,10316,Home,Employed,2,Good,35,28304,0,Low,,,,
253,253,104661,771,8751,Personal,Employed,7,Good,51,100251,2,Medium,,,,
254,254,72299,676,37088,Auto,Unemployed,3,Fair,55,163332,2,Medium,,,,
255,255,78630,695,48757,Personal,Self-employed,12,Fair,43,159741,1,Low,,,,
256,256,106009,681,22351,Business,Self-employed,2,Excellent,59,162947,4,Low,,,,
257,257,37330,797,28892,Personal,Unemployed,11,Excellent,45,247877,2,Medium,,,,
258,258,69933,688,25432,Business,Unemployed,15,Good,54,275015,4,Medium,,,,
259,259,99688,732,12429,Home,Unemployed,8,Poor,43,267072,3,Medium,,,,
260,260,69933,791,30191,Home,Unemployed,13,Good,17,263286,4,Low,,,,
261,261,69933,690,29992,Home,Self-employed,3,Poor,11,159741,1,Low,,,,
262,262,114018,636,28620,Business,Employed,1,Excellent,26,38980,1,Medium,,,,
263,263,88309,724,7848,Auto,Self-employed,10,Excellent,25,103243,2,Low,,,,
264,264,62262,606,6667,Personal,Unemployed,4,Good,55,268305,1,Low,,,,
265,265,35070,642,27450,Personal,Self-employed,6,Good,56,294768,2,Medium,,,,
266,266,39629,622,9537,Home,Unemployed,2,Fair,52,48636,4,Low,,,,
267,267,98672,792,5228,Home,Self-employed,1,Good,48,159741,2,Low,,,,
268,268,83094,699,27450,Home,Unemployed,6,Excellent,19,268737,2,Low,,,,
269,269,35203,726,34541,Auto,Unemployed,5,Poor,56,252977,2,Medium,,,,
270,270,67940,618,31030,Home,Unemployed,12,Poor,38,159741,2,Low,,,,
271,271,69933,697,5209,Personal,Employed,15,Poor,45,159741,1,Low,,,,
272,272,61291,639,7908,Personal,Unemployed,12,Poor,17,33810,3,Low,,,,
273,273,42327,655,27450,Business,Employed,0,Excellent,44,90257,0,Medium,,,,
274,274,100562,785,27450,Home,Self-employed,14,Poor,19,155884,2,Low,,,,
275,275,34284,775,26340,Personal,Self-employed,14,Fair,40,64156,0,Medium,,,,
276,276,115066,799,31359,Home,Self-employed,5,Excellent,23,142354,4,Low,,,,
277,277,26441,699,49939,Home,Unemployed,1,Excellent,42,169702,0,Low,,,,
278,278,98311,689,34763,Business,Employed,8,Excellent,39,216062,3,Low,,,,
279,279,63148,660,16704,Auto,Self-employed,0,Fair,33,40643,4,Low,,,,
280,280,114436,775,39216,Business,Employed,7,Excellent,10,158498,2,Low,,,,
281,281,94693,718,20928,Business,Unemployed,5,Fair,32,257028,4,Low,,,,
282,282,117284,716,44218,Business,Self-employed,19,Excellent,31,159741,2,High,,,,
283,283,69933,694,9370,Personal,Employed,8,Poor,36,159741,2,Medium,,,,
284,284,102245,686,33967,Business,Unemployed,4,Fair,19,116854,2,Medium,,,,
285,285,88173,746,14800,Personal,Self-employed,8,Fair,54,289092,1,Low,,,,
286,286,70807,745,39572,Business,Employed,18,Good,43,130451,4,Low,,,,
287,287,22944,668,44767,Auto,Employed,7,Excellent,45,31159,2,Medium,,,,
288,288,29475,725,27450,Home,Employed,6,Poor,11,189327,0,Low,,,,
289,289,102141,636,27450,Business,Unemployed,5,Good,49,161711,2,Medium,,,,
290,290,99314,656,17158,Personal,Self-employed,8,Excellent,12,162247,2,Low,,,,
291,291,25465,671,36672,Auto,Self-employed,8,Fair,26,237546,1,Medium,,,,
292,292,104766,688,35808,Business,Employed,15,Poor,32,198067,4,High,,,,
293,293,94099,699,41008,Business,Employed,15,Poor,22,137990,2,Medium,,,,
294,294,95630,699,47368,Personal,Unemployed,17,Fair,47,187156,1,High,,,,
295,295,89806,699,28542,Personal,Self-employed,8,Good,28,121092,2,Low,,,,
296,296,118995,787,14398,Auto,Employed,15,Good,49,148047,3,Medium,,,,
297,297,63322,773,8074,Business,Employed,5,Fair,38,267802,1,High,,,,
298,298,100845,606,9288,Auto,Self-employed,19,Poor,11,159741,4,Medium,,,,
299,299,34821,775,22889,Personal,Unemployed,18,Good,12,278194,3,High,,,,
300,300,23477,612,27450,Auto,Unemployed,8,Fair,29,159741,2,Medium,,,,
301,301,33054,699,27450,Business,Unemployed,3,Fair,51,204538,2,Medium,,,,
302,302,69933,687,5387,Business,Self-employed,13,Fair,14,159741,1,Low,,,,
303,303,99671,669,30460,Personal,Unemployed,18,Poor,43,25531,1,Medium,,,,
304,304,73953,710,42364,Home,Self-employed,1,Good,56,152625,2,Medium,,,,
305,305,71500,734,44400,Personal,Self-employed,14,Excellent,25,127985,2,Low,,,,
306,306,88669,720,17468,Home,Self-employed,6,Excellent,58,199129,4,Low,,,,
307,307,98886,695,30101,Auto,Employed,17,Excellent,44,200996,2,Low,,,,
308,308,46953,627,23284,Business,Self-employed,7,Good,23,192563,0,Medium,,,,
309,309,69933,627,27450,Personal,Self-employed,14,Good,48,24340,0,Medium,,,,
310,310,89852,676,27422,Home,Self-employed,9,Excellent,49,205004,4,Low,,,,
311,311,87384,606,7297,Business,Self-employed,4,Good,45,232491,0,Low,,,,
312,312,78360,608,47644,Home,Unemployed,1,Fair,11,271432,4,Low,,,,
313,313,57488,777,26533,Personal,Employed,2,Fair,41,159741,0,Medium,,,,
314,314,64153,658,12202,Home,Employed,12,Fair,18,186472,0,Low,,,,
315,315,55059,756,7413,Personal,Employed,5,Good,49,29295,0,Low,,,,
316,316,77564,612,12357,Business,Employed,1,Good,45,111458,2,Medium,,,,
317,317,69933,771,8974,Business,Employed,1,Good,19,159741,2,Low,,,,
318,318,104156,699,30993,Auto,Unemployed,17,Fair,49,181828,4,Low,,,,
319,319,69933,642,22439,Home,Employed,12,Good,45,136141,2,Low,,,,
320,320,69933,672,20203,Auto,Employed,1,Poor,29,182768,0,Low,,,,
321,321,64764,600,25486,Auto,Employed,17,Good,45,79556,1,Medium,,,,
322,322,118580,636,13116,Home,Self-employed,7,Fair,12,267284,0,Low,,,,
323,323,41961,612,30866,Auto,Employed,11,Excellent,30,294593,2,Low,,,,
324,324,84766,622,20645,Business,Unemployed,6,Fair,51,77868,1,Medium,,,,
325,325,100664,725,12939,Personal,Unemployed,2,Good,14,258171,1,Low,,,,
326,326,44448,631,30975,Auto,Self-employed,18,Good,19,130657,3,High,,,,
327,327,26518,759,21161,Personal,Employed,18,Poor,32,135490,2,Low,,,,
328,328,69933,645,27450,Business,Unemployed,14,Poor,57,118975,4,Medium,,,,
329,329,113923,601,44653,Auto,Employed,1,Good,27,263788,2,High,,,,
330,330,107732,750,39235,Business,Unemployed,19,Excellent,30,62184,2,Medium,,,,
331,331,117869,745,27450,Business,Employed,8,Fair,55,159741,2,Low,,,,
332,332,36967,783,36845,Auto,Unemployed,11,Fair,43,159741,2,Medium,,,,
333,333,58785,644,19414,Home,Employed,3,Poor,21,71979,1,Low,,,,
334,334,83969,671,44332,Business,Employed,16,Fair,46,88597,2,Low,,,,
335,335,111109,664,16734,Auto,Unemployed,0,Fair,20,246188,2,High,,,,
