PersonID,Age,Gender,Education_Level,Marital_Status,Number_of_Dependents,City,State,Country,Marital_Status_Change
43,35,Female,PhD,Divorced,4,West Donna,WY,Svalbard & Jan Mayen Islands,2
44,18,Female,Master's,Divorced,2,Campbellfort,AL,China,2
45,21,Male,Bachelor's,Widowed,0,West Denisebury,KY,French Guiana,2
46,67,Non-binary,Master's,Divorced,3,Mataside,AZ,Iceland,0
47,49,Male,Bachelor's,Married,0,Camposland,WA,Niue,0
48,30,Female,Bachelor's,Divorced,3,Mckeeborough,RI,Martinique,0
49,28,Non-binary,Bachelor's,Married,1,Conniehaven,VT,Tajikistan,2
50,65,Male,PhD,Widowed,0,Johnsonside,LA,Vietnam,1
51,68,Female,PhD,Single,2,West Patrick,WY,Bouvet Island (Bouvetoya),2
52,59,Non-binary,Bachelor's,Married,1,South Heather,DE,Kuwait,1
53,39,Non-binary,PhD,Single,0,North Joshuaborough,MI,Falkland Islands (Malvinas),0
54,64,Non-binary,Bachelor's,Married,2,Williamston,WV,British Indian Ocean Territory (Chagos Archipelago),0
55,69,Non-binary,High School,Divorced,2,Herrerafurt,RI,Holy See (Vatican City State),1
56,29,Male,Bachelor's,Divorced,1,South Austinhaven,HI,Niue,0
57,47,Male,High School,Widowed,2,Rickymouth,CO,Sao Tome and Principe,0
58,27,Non-binary,Bachelor's,Married,1,West Davidchester,AS,Singapore,1
59,54,Non-binary,PhD,Married,3,East Adam,MH,Georgia,0
60,67,Male,PhD,Widowed,1,East Anthony,ND,Guam,0
61,36,Male,Bachelor's,Divorced,2,Wendyshire,ND,Dominica,0
62,36,Female,Master's,Married,0,Port Christopher,NY,Brunei Darussalam,1
63,54,Female,Bachelor's,Married,0,Smithview,IA,French Polynesia,0
64,19,Non-binary,Master's,Single,0,Ibarraport,NJ,Zimbabwe,0
65,39,Non-binary,PhD,Widowed,1,Dennismouth,WY,Serbia,2
66,48,Male,Bachelor's,Single,3,Kimstad,CT,Taiwan,0
67,64,Male,Bachelor's,Single,2,Johnsonbury,WV,Pakistan,1
68,44,Non-binary,PhD,Widowed,3,East Danielmouth,AS,Haiti,2
69,55,Female,Bachelor's,Divorced,2,Wilsonton,MH,San Marino,0
70,34,Female,Master's,Widowed,2,Hinesberg,DE,Kazakhstan,2
71,65,Male,Master's,Divorced,4,Richardbury,ID,Armenia,0
72,68,Non-binary,Master's,Married,4,Johnsonview,IL,Netherlands,0
73,47,Female,Bachelor's,Divorced,2,Andrewside,TX,Greece,0
74,20,Male,Master's,Widowed,3,New Laurabury,MA,Somalia,1
75,36,Non-binary,Bachelor's,Widowed,2,Yvonneland,NY,Brunei Darussalam,1
76,62,Female,Bachelor's,Single,1,South Darrell,VI,Latvia,1
77,35,Female,High School,Married,2,Cynthiashire,CO,Mexico,0
78,66,Female,Bachelor's,Single,2,Thomasmouth,MP,French Southern Territories,2
79,50,Non-binary,Master's,Single,2,Michelleland,CO,Kazakhstan,1
80,31,Female,Bachelor's,Married,0,Davisport,NJ,Sao Tome and Principe,0
81,38,Non-binary,Master's,Divorced,2,East Brian,PW,South Africa,0
82,39,Female,Master's,Widowed,0,New Meganshire,NV,French Polynesia,0
83,50,Female,Master's,Divorced,4,Port Amy,FM,Egypt,1
84,49,Non-binary,Bachelor's,Single,2,Port Rebecca,CA,Svalbard & Jan Mayen Islands,1
85,24,Male,Bachelor's,Single,3,East Helenhaven,VT,French Southern Territories,2
86,23,Male,Bachelor's,Married,4,Port Joseph,RI,San Marino,2
87,38,Non-binary,Bachelor's,Single,2,Jacksonmouth,WA,Jordan,2
88,28,Female,High School,Married,2,North Marcbury,WA,Turkey,1
89,35,Female,PhD,Married,0,Andreaborough,NC,Thailand,2
90,50,Non-binary,PhD,Divorced,3,Cynthiabury,DC,Zimbabwe,0
91,56,Female,Master's,Single,1,New Zachary,IN,Swaziland,1
92,22,Non-binary,Master's,Widowed,4,Taylormouth,ND,Botswana,1
93,40,Male,Master's,Widowed,0,Jacobview,WV,Russian Federation,1
94,39,Male,High School,Married,1,South Brianna,GU,Mali,1
95,31,Non-binary,High School,Divorced,2,Gordonbury,AL,Ukraine,2
96,45,Female,High School,Widowed,4,Penamouth,NH,Ethiopia,1
97,62,Non-binary,Bachelor's,Widowed,2,East Kevinmouth,VI,Togo,2
98,34,Non-binary,High School,Widowed,2,Lake Ashleyland,AR,Belize,1
99,19,Male,High School,Married,1,East Triciatown,WI,Angola,2
100,49,Non-binary,Bachelor's,Married,1,West Mirandaborough,MA,Anguilla,0
101,36,Female,High School,Married,4,Zacharyhaven,NM,Guatemala,2
102,43,Male,PhD,Married,2,Tristanland,AZ,United States Minor Outlying Islands,1
103,23,Male,Bachelor's,Single,2,Lake Evelynstad,CA,Monaco,0
104,22,Male,Master's,Widowed,3,New Shannonberg,KY,Gambia,1
105,41,Female,Master's,Widowed,0,Onealfurt,WA,Romania,0
106,57,Male,Master's,Single,4,Smithborough,IA,Palestinian Territory,0
107,31,Female,PhD,Widowed,3,Traceyton,SD,Suriname,2
108,58,Non-binary,High School,Widowed,4,North Jeff,MT,Burundi,1
109,36,Non-binary,PhD,Single,2,Diazton,WV,Guatemala,0
110,52,Male,High School,Married,2,West Robert,IA,Singapore,0
111,22,Female,High School,Single,3,West Daniel,MS,Malawi,0
112,55,Non-binary,Master's,Widowed,2,Barneston,CA,Saint Pierre and Miquelon,2
113,44,Female,High School,Divorced,0,East Ian,PW,Costa Rica,2
114,41,Female,PhD,Widowed,0,New Shelby,KS,Lesotho,2
115,33,Male,PhD,Single,1,North Jodyside,NM,Brazil,1
116,40,Male,Master's,Married,3,West Jeffrey,MT,India,2
117,53,Female,High School,Married,1,Ellenbury,AS,Uruguay,1
118,18,Non-binary,Master's,Single,0,Curtisville,PW,Mayotte,1
119,37,Non-binary,High School,Divorced,2,East Jesse,PW,Finland,2
120,36,Non-binary,PhD,Divorced,3,Dunnhaven,MN,Saint Pierre and Miquelon,2
121,67,Male,Master's,Widowed,4,New Valerie,GA,Monaco,1
122,62,Female,PhD,Widowed,2,Payneville,NH,Kuwait,2
123,60,Female,PhD,Married,2,Lake Daniel,PW,Argentina,2
124,39,Male,Master's,Divorced,1,Johnnyberg,NY,South Africa,0
125,59,Male,PhD,Single,2,Williamsport,WV,Paraguay,1
126,50,Male,Bachelor's,Married,2,New Derekmouth,MH,Mozambique,1
127,64,Male,PhD,Single,3,East Keith,MS,El Salvador,1
128,40,Male,PhD,Single,2,South Haileyview,NC,Suriname,2
129,18,Non-binary,PhD,Divorced,4,East Michael,MP,Netherlands Antilles,1
130,42,Non-binary,Master's,Widowed,1,Strongport,OH,Russian Federation,0
131,39,Non-binary,High School,Widowed,4,New Ashley,MN,El Salvador,1
132,67,Male,PhD,Divorced,0,New Russellfurt,HI,Jersey,0
133,28,Female,PhD,Single,4,Lake Keithtown,MO,Suriname,1
134,53,Non-binary,PhD,Single,2,Gouldbury,CO,Maldives,0
135,40,Male,Bachelor's,Divorced,2,South Amanda,HI,Iran,1
136,31,Female,PhD,Widowed,4,Margaretchester,KY,Mayotte,2
137,48,Male,Master's,Divorced,1,New Janet,CT,Samoa,1
138,20,Non-binary,PhD,Divorced,3,Stephanieborough,OR,Bosnia and Herzegovina,1
139,20,Non-binary,Master's,Widowed,2,East Territown,NE,Wallis and Futuna,0
140,22,Male,PhD,Single,4,Port Tylermouth,HI,Sweden,1
141,35,Male,High School,Divorced,0,Port Andreamouth,WV,Luxembourg,1
142,36,Female,Bachelor's,Divorced,4,Turnerchester,NV,Micronesia,2
143,59,Female,High School,Single,4,Greenport,WV,Azerbaijan,0
144,28,Male,Master's,Divorced,3,South Jeremy,SC,Myanmar,0
145,66,Female,Master's,Divorced,1,South Maria,NM,Czech Republic,0
146,36,Non-binary,Bachelor's,Single,2,Heathermouth,ME,Turkey,0
147,60,Male,High School,Divorced,1,New Kevin,OH,Guinea-Bissau,1
148,63,Female,High School,Single,3,New Martinberg,OR,Cyprus,2
149,43,Female,Bachelor's,Single,4,Frankport,NE,Austria,0
150,39,Non-binary,Bachelor's,Divorced,3,North Nathantown,MN,Indonesia,2
151,62,Female,PhD,Divorced,1,West Elizabethside,MA,Peru,1
152,39,Male,High School,Single,2,New Brianshire,PW,Armenia,1
153,22,Female,High School,Widowed,1,New Kathryn,OR,Norway,1
154,59,Female,Master's,Divorced,2,Kristinfort,AR,Algeria,0
155,37,Non-binary,PhD,Divorced,4,Andreaborough,NV,Bangladesh,0
156,58,Male,PhD,Single,4,Phillipsbury,AL,American Samoa,1
157,47,Female,PhD,Married,4,Anthonyside,NH,Ireland,2
158,58,Non-binary,Bachelor's,Single,3,New Marisashire,NE,Namibia,0
159,51,Non-binary,Bachelor's,Married,2,North Feliciaville,VA,Iran,2
160,25,Female,Bachelor's,Single,3,Stevensonborough,NV,Egypt,2
161,27,Non-binary,High School,Widowed,2,Villafurt,RI,Sao Tome and Principe,0
162,36,Female,Bachelor's,Single,0,South Teresaburgh,IL,Japan,2
163,56,Non-binary,Bachelor's,Widowed,2,Amandabury,NC,Australia,2
164,34,Female,High School,Widowed,2,North Jeremy,AS,Georgia,2
165,65,Male,Master's,Single,1,New Julieside,AK,Martinique,0
166,34,Female,PhD,Divorced,2,Port Matthew,NE,Panama,1
167,66,Non-binary,PhD,Widowed,4,South Karen,NM,Finland,0
168,30,Non-binary,PhD,Single,0,North Amber,NE,United States Virgin Islands,0
169,59,Female,Master's,Married,1,North Theresaville,ID,Samoa,1
170,27,Non-binary,Master's,Divorced,3,North Jessicachester,WY,Andorra,1
171,64,Non-binary,PhD,Divorced,0,Odomfort,HI,Cape Verde,0
172,61,Non-binary,PhD,Divorced,3,Humphreymouth,CO,Cocos (Keeling) Islands,2
173,67,Female,Bachelor's,Divorced,0,Hodgesville,NV,Micronesia,1
174,32,Non-binary,Master's,Married,4,Amyview,CO,United Arab Emirates,2
175,43,Non-binary,Master's,Single,2,Jordanville,CT,Solomon Islands,0
176,46,Female,PhD,Divorced,3,East Brenda,TN,Burkina Faso,2
177,56,Female,Bachelor's,Widowed,0,Johnbury,WI,Kiribati,0
178,35,Male,Bachelor's,Widowed,2,North Taylorville,NV,Niger,0
179,37,Female,PhD,Single,3,Bradleyshire,NE,Falkland Islands (Malvinas),1
180,24,Non-binary,Master's,Widowed,2,East Stephentown,SD,Slovakia (Slovak Republic),0
181,31,Female,Master's,Widowed,2,South Danielleview,VT,Chile,0
182,25,Male,Master's,Widowed,2,Lake Brendan,AS,Brunei Darussalam,1
183,18,Female,PhD,Single,3,South Jeremyfurt,AK,Cote d'Ivoire,1
184,26,Male,High School,Widowed,3,West Ashleyberg,KS,Libyan Arab Jamahiriya,0
185,43,Female,PhD,Divorced,2,Andrewshire,DE,Djibouti,0
186,53,Female,High School,Married,2,Charlesstad,OH,Samoa,2
187,41,Male,Bachelor's,Widowed,2,Christensenfurt,GA,Yemen,1
188,61,Non-binary,Master's,Widowed,2,Meganfurt,NE,Comoros,0
189,25,Male,PhD,Single,3,Darrenstad,NH,Iran,2
190,21,Male,Bachelor's,Divorced,3,Martinezmouth,PA,Costa Rica,2
191,52,Non-binary,PhD,Divorced,2,Victoriamouth,MN,Western Sahara,1
192,27,Female,High School,Divorced,0,Lauratown,AL,Vanuatu,0
193,34,Non-binary,Bachelor's,Widowed,2,Karenton,KS,Mali,1
194,18,Non-binary,High School,Divorced,4,Traceyshire,FL,North Macedonia,2
195,46,Male,PhD,Widowed,4,Port Scottville,VT,Puerto Rico,1
196,63,Female,Bachelor's,Divorced,2,West Robin,IL,Somalia,2
197,32,Male,Master's,Widowed,0,Stanleyborough,PW,Pakistan,0
198,47,Non-binary,High School,Married,0,North Bonnie,MI,Mali,2
199,22,Female,Bachelor's,Widowed,3,Hartmanmouth,VI,Suriname,0
200,41,Male,Bachelor's,Single,2,Garrettton,MD,Romania,0
201,65,Female,High School,Divorced,2,Jonesfurt,SD,Antarctica (the territory South of 60 deg S),1
202,36,Non-binary,Master's,Single,4,Hannahtown,PW,Netherlands,2
203,43,Non-binary,High School,Divorced,3,Ramirezshire,WV,Mauritania,1
204,54,Male,Bachelor's,Married,1,Jarviston,KY,Saint Pierre and Miquelon,1
205,34,Female,Bachelor's,Single,0,Krystalberg,PA,Lesotho,2
206,60,Female,PhD,Married,3,East Sherrifurt,GU,British Indian Ocean Territory (Chagos Archipelago),2
207,43,Female,PhD,Widowed,2,South Kent,CT,Pakistan,0
208,47,Male,Bachelor's,Married,3,Matthewshire,RI,Grenada,0
209,48,Male,PhD,Single,2,Englishfurt,OR,Mali,1
210,45,Male,Bachelor's,Divorced,0,Port Vickie,LA,New Caledonia,0
211,20,Non-binary,Bachelor's,Single,1,Annettemouth,PR,Cape Verde,2
212,43,Non-binary,Bachelor's,Widowed,2,East Nancy,AZ,Vanuatu,2
213,47,Non-binary,High School,Single,0,East Nicholas,NH,Angola,0
214,47,Male,Master's,Widowed,4,Lake Susan,GA,Senegal,1
215,52,Non-binary,Master's,Widowed,1,Peterstad,CA,Lebanon,2
216,49,Non-binary,Bachelor's,Married,2,New Phillip,SD,Peru,1
217,35,Non-binary,PhD,Widowed,1,Johnsonborough,NC,Costa Rica,0
218,33,Male,Master's,Married,2,Lake Jessicaborough,GA,Guyana,2
219,50,Female,Bachelor's,Single,0,Port Ericaside,NE,Martinique,0
220,42,Male,Master's,Married,3,Port Arielfurt,HI,Hungary,0
221,62,Non-binary,Master's,Single,0,New Catherineton,OR,Marshall Islands,2
222,56,Male,PhD,Widowed,3,Palmerville,IA,Vietnam,0
223,40,Male,Bachelor's,Single,3,Brownville,IL,Wallis and Futuna,1
224,53,Non-binary,High School,Widowed,0,Smithtown,ME,Moldova,1
225,31,Male,High School,Married,3,Davismouth,AL,Peru,1
226,33,Non-binary,Master's,Married,2,Port Mandyland,CA,Italy,0
227,58,Male,High School,Divorced,2,Marieside,NV,Zambia,0
228,47,Female,Master's,Married,1,Reedberg,MT,Thailand,1
229,24,Non-binary,PhD,Divorced,2,Lake Christina,VT,French Southern Territories,2
230,48,Male,Master's,Divorced,4,New Sara,NE,Morocco,1
231,24,Female,PhD,Single,0,Lake Andrea,IL,Saint Pierre and Miquelon,2
232,33,Non-binary,High School,Divorced,3,North Kennethborough,MS,Burkina Faso,1
233,55,Non-binary,High School,Divorced,4,East John,ID,Argentina,0
234,65,Male,High School,Single,0,West David,FL,Iraq,1
235,37,Male,High School,Single,2,North Markberg,CO,El Salvador,0
236,38,Female,PhD,Divorced,2,Myerstown,PR,Canada,1
237,54,Non-binary,Master's,Single,0,Port Sandra,DE,Bulgaria,0
238,37,Female,PhD,Married,2,Tanyafort,OK,Saint Helena,0
239,52,Male,Bachelor's,Widowed,1,Shannonside,OK,Macao,1
240,33,Male,Bachelor's,Divorced,3,Lake Emilyborough,CO,Seychelles,0
241,50,Female,High School,Single,1,North Norma,PW,Latvia,1
242,30,Female,Bachelor's,Widowed,2,Holmesmouth,RI,Malta,1
243,25,Male,Bachelor's,Divorced,4,Lake Tina,WY,Sweden,0
244,42,Female,Bachelor's,Widowed,2,South Vanessaville,KY,Montserrat,2
245,30,Non-binary,Master's,Widowed,3,New Susan,AR,Mauritius,1
246,19,Female,Bachelor's,Single,4,Baileystad,ND,Mauritania,0
247,46,Non-binary,Master's,Widowed,0,Newmanland,WY,Norfolk Island,1
248,44,Non-binary,High School,Widowed,3,Lake Jesse,KS,United States Virgin Islands,1
249,54,Female,Bachelor's,Divorced,2,Kennethberg,MP,Iceland,2
250,19,Female,Master's,Divorced,1,Hunterside,SC,Namibia,0
251,40,Non-binary,High School,Single,4,Pollardborough,WV,South Georgia and the South Sandwich Islands,0
252,43,Male,Master's,Divorced,3,Dyerfort,MS,Holy See (Vatican City State),0
253,67,Male,Bachelor's,Single,0,East Matthewtown,ME,Western Sahara,1
254,51,Non-binary,Master's,Widowed,2,Kennethshire,HI,Anguilla,2
255,34,Non-binary,Master's,Married,2,New Jason,NJ,Malawi,1
256,19,Male,Master's,Widowed,2,North Daniel,AZ,Vietnam,0
257,25,Non-binary,Master's,Single,3,Keithberg,IL,Iraq,1
258,59,Non-binary,Bachelor's,Single,4,Rileyfurt,MS,Luxembourg,0
259,32,Female,PhD,Single,0,Port Sarahton,MI,North Macedonia,2
260,44,Female,Master's,Single,3,Jacksonberg,UT,Slovakia (Slovak Republic),1
261,28,Male,High School,Single,1,New Jasminefort,AL,Bouvet Island (Bouvetoya),2
262,60,Male,PhD,Married,3,West Kaylee,CO,Liberia,1
263,43,Female,PhD,Divorced,4,Fergusonchester,DC,Germany,2
264,51,Non-binary,High School,Divorced,2,New Paulside,TN,Qatar,1
265,60,Female,High School,Widowed,2,South Matthew,DE,El Salvador,2
266,35,Female,PhD,Single,1,Desireeville,DC,Sao Tome and Principe,0
267,69,Non-binary,Bachelor's,Single,1,Ashleyshire,DE,Japan,1
268,59,Male,High School,Divorced,1,New Melissa,SD,Burkina Faso,2
269,42,Female,High School,Widowed,0,East Morgan,MH,Saint Martin,1
270,29,Male,Master's,Single,1,Darlenehaven,CA,Panama,0
271,38,Male,PhD,Divorced,2,Port Brittany,WI,Canada,1
272,66,Female,High School,Single,1,Port David,WA,Mayotte,2
273,27,Female,Bachelor's,Widowed,3,North Nicholasmouth,VI,Dominica,0
274,43,Male,PhD,Married,4,New Yvonne,AS,Taiwan,0
275,46,Female,Master's,Married,4,New Melissamouth,NV,Wallis and Futuna,2
276,33,Male,Master's,Married,2,North Brianbury,OK,Mexico,1
277,43,Male,PhD,Divorced,0,South Jeffreyshire,MI,Tanzania,2
278,28,Non-binary,Bachelor's,Divorced,0,West Deanna,TN,India,2
279,67,Male,Bachelor's,Widowed,0,Kimberlychester,TX,Tajikistan,2
280,27,Non-binary,PhD,Married,2,Torresbury,FL,South Georgia and the South Sandwich Islands,1
281,28,Male,Bachelor's,Single,2,Josephstad,MP,Georgia,2
282,68,Non-binary,High School,Widowed,0,Emilyview,GA,Samoa,0
283,48,Non-binary,High School,Married,1,Haynesview,NE,Hong Kong,0
284,20,Female,PhD,Married,2,New Frank,CA,Rwanda,2
285,27,Male,High School,Single,0,South Susanfurt,KY,Congo,1
286,34,Non-binary,High School,Married,3,South Audrey,MP,Saint Lucia,0
287,66,Non-binary,Bachelor's,Single,0,Kevinbury,TX,Belgium,2
288,53,Male,PhD,Married,4,Jamesborough,OH,Iran,0
289,51,Male,Bachelor's,Widowed,4,Williamsmouth,DC,Saint Pierre and Miquelon,0
290,38,Female,High School,Divorced,4,Diazview,GU,Yemen,1
291,48,Male,Bachelor's,Single,4,Markville,PA,Romania,1
292,40,Female,High School,Widowed,1,West Scottshire,MS,Falkland Islands (Malvinas),1
293,66,Non-binary,High School,Widowed,1,Lake Ellen,NC,Tanzania,1
294,25,Non-binary,Bachelor's,Married,2,South Timothybury,PR,Ethiopia,1
295,52,Male,Bachelor's,Widowed,3,South Priscillaland,NH,France,0
296,69,Female,Master's,Divorced,0,Clarkborough,DE,Bermuda,1
297,31,Non-binary,High School,Widowed,3,Port Michaelmouth,ID,Romania,0
298,58,Non-binary,High School,Divorced,0,New Larryborough,AR,Liechtenstein,2
299,43,Female,Master's,Single,0,Lake James,MD,Niue,2
300,51,Female,PhD,Divorced,4,Michaelmouth,ME,Fiji,0
301,19,Male,Master's,Divorced,0,New Edwinbury,SD,Palestinian Territory,2
302,66,Non-binary,Master's,Divorced,1,Maryburgh,AR,Mauritius,1
303,18,Non-binary,High School,Widowed,1,Jacquelineborough,MP,Greece,1
304,56,Male,High School,Widowed,1,North Michael,NY,United States Minor Outlying Islands,2
305,18,Non-binary,Master's,Widowed,4,Dustinbury,CT,Malawi,0
306,53,Female,PhD,Divorced,0,West Daniel,NE,Japan,1
307,39,Non-binary,High School,Widowed,1,North Emily,KS,France,2
308,33,Non-binary,Bachelor's,Single,3,West Michelle,VA,Monaco,1
309,40,Male,Master's,Widowed,0,Lake Kimberly,TN,Mauritius,1
310,41,Female,High School,Married,1,Loweryland,VT,Tonga,0
311,62,Male,PhD,Divorced,3,West Melanieton,MH,Taiwan,0
312,32,Female,Bachelor's,Married,3,East Veronica,KY,Tajikistan,0
313,24,Male,High School,Single,3,Harrismouth,MN,Kenya,0
314,58,Non-binary,PhD,Widowed,2,South Lancehaven,FM,Sri Lanka,2
315,30,Non-binary,Master's,Married,4,Walkerborough,WA,Tunisia,2
316,59,Female,Master's,Married,0,Tylerport,DE,Marshall Islands,1
317,69,Male,Master's,Widowed,2,North Ronald,KS,Cuba,1
318,43,Female,Master's,Married,2,Alvarezfurt,MS,Norway,1
319,54,Female,Master's,Divorced,2,North Vickieborough,WV,Sudan,2
320,67,Male,PhD,Single,0,Lake Juliechester,MT,China,1
321,66,Male,Master's,Divorced,1,New Latashabury,AZ,Reunion,0
322,32,Female,High School,Widowed,3,Savannahfurt,NC,Mauritius,1
323,20,Female,High School,Married,0,Port Kentberg,CO,Brunei Darussalam,1
324,35,Female,Master's,Divorced,3,Blackwellchester,AR,Cote d'Ivoire,1
325,47,Female,Bachelor's,Married,2,Port Kimberlyside,DC,Zambia,1
326,36,Non-binary,Master's,Divorced,2,South Matthewmouth,MP,Bhutan,1
327,61,Male,PhD,Widowed,1,East Timothy,CO,Zimbabwe,0
328,65,Non-binary,PhD,Single,3,Bradyfort,ND,Botswana,1
329,68,Female,High School,Single,2,New Lindsay,OH,Mayotte,2
330,22,Male,PhD,Divorced,4,Lake John,TN,Belarus,0
331,59,Female,Bachelor's,Divorced,1,Annborough,AK,San Marino,1
332,47,Male,Bachelor's,Married,2,South Brendashire,RI,Norfolk Island,1
333,29,Female,Bachelor's,Married,2,Crossland,AS,Costa Rica,1
334,28,Male,Bachelor's,Single,0,Julieborough,FM,United States of America,2
335,66,Non-binary,PhD,Divorced,0,Port Frank,RI,Grenada,2
336,49,Non-binary,PhD,Married,2,East Seanmouth,ND,Pakistan,2
337,36,Female,PhD,Widowed,1,Simsfurt,WI,Falkland Islands (Malvinas),1
338,40,Non-binary,Bachelor's,Widowed,1,Stephanieland,AZ,Hong Kong,2
339,45,Female,High School,Divorced,0,New Angelabury,VT,Faroe Islands,0
340,64,Male,PhD,Married,2,North Christinestad,SD,Greenland,1
341,56,Non-binary,High School,Divorced,4,Henrystad,PR,Libyan Arab Jamahiriya,0
342,37,Female,Master's,Widowed,2,Lake Ryan,IN,Cook Islands,0
343,55,Male,Bachelor's,Widowed,0,Hermanview,NC,Chile,2
344,58,Male,Bachelor's,Widowed,3,Velezfurt,OK,Heard Island and McDonald Islands,2
345,46,Male,PhD,Married,4,North Stephanie,LA,Saint Lucia,2
346,66,Male,PhD,Married,0,Susanland,AR,Jersey,2
347,27,Female,Bachelor's,Single,4,Port Lindseyfort,MO,Saint Kitts and Nevis,1
348,68,Non-binary,High School,Widowed,1,South Aprilbury,TX,Equatorial Guinea,2
349,54,Male,High School,Married,4,Mannmouth,MT,Angola,2
350,25,Male,Bachelor's,Single,2,West Ryan,IL,Vietnam,2
351,21,Female,Master's,Married,2,Aaronstad,NJ,Slovenia,0
352,67,Female,High School,Single,4,Jonathanmouth,DE,Guinea-Bissau,0
353,50,Female,Bachelor's,Divorced,2,Wardhaven,ND,Tuvalu,1
354,44,Non-binary,PhD,Widowed,2,East Martin,IL,Algeria,0
355,22,Female,PhD,Divorced,0,Desireeville,AS,Niue,2
356,39,Male,High School,Single,4,Austinmouth,GU,Congo,1
357,63,Male,Bachelor's,Divorced,4,Higginsport,IN,Myanmar,0
358,19,Male,PhD,Married,4,North Lisa,PW,Serbia,0
359,54,Non-binary,PhD,Widowed,2,New Brandonland,OK,Swaziland,2
360,66,Male,Bachelor's,Divorced,4,Amberfort,VI,Oman,0
361,66,Non-binary,Bachelor's,Divorced,2,Karenborough,AL,Niger,0
362,45,Non-binary,Master's,Divorced,2,Meaganton,WA,Iran,2
363,20,Male,PhD,Single,2,Lake Christina,NY,Belize,0
364,65,Male,Bachelor's,Divorced,2,Erinchester,NJ,Andorra,2
365,59,Male,High School,Divorced,2,Lake Kelsey,AL,Chile,1
366,51,Male,Master's,Widowed,4,Williamsfurt,SC,Seychelles,1
367,48,Non-binary,High School,Married,2,South Stephanie,IL,Namibia,2
368,47,Male,High School,Divorced,2,Port Randalltown,VA,Korea,0
369,38,Non-binary,Master's,Single,2,West Carla,TX,Portugal,0
370,42,Male,High School,Single,2,Campbellborough,VT,San Marino,0
371,39,Female,Bachelor's,Widowed,2,South Lisa,ID,Mayotte,2
372,41,Female,High School,Single,1,East Wayneberg,TX,Myanmar,2
373,26,Female,PhD,Married,2,East Richard,MI,Aruba,2
